asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.wikidata.org/wiki/Q2374463,Data Science
201907_co.dex.pdf,http://www.themathcompany.com/cognition/On_-_premise,On - premise,P279,subclass of,http://www.wikidata.org/wiki/Q121359,Infrastructure
201907_co.dex.pdf,http://www.themathcompany.com/cognition/On_-_premise,On - premise,P279,subclass of,http://www.wikidata.org/wiki/Q121359,infrastructure
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P31,instance of,http://www.wikidata.org/wiki/Q1254596,SaaS
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P31,instance of,http://www.wikidata.org/wiki/Q294834,application
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P31,instance of,http://www.wikidata.org/wiki/Q165194,API
201907_co.dex.pdf,http://www.themathcompany.com/cognition/forecasting_techniques,forecasting techniques,P366,use,http://www.wikidata.org/wiki/Q7216332,Forecasting
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Co.dex_DS,Co.dex DS,P31,instance of,http://www.wikidata.org/wiki/Q2425187,code base
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.wikidata.org/wiki/Q43967068,AutoML
201907_co.dex.pdf,http://www.themathcompany.com/cognition/On_-_premise,On - premise,P279,subclass of,http://www.wikidata.org/wiki/Q8074,Cloud
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P31,instance of,http://www.wikidata.org/wiki/Q8351206,firewall
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.wikidata.org/wiki/Q2374463,Data scientists
201907_co.dex.pdf,http://www.themathcompany.com/cognition/CO.DEX,CO.DEX,P366,use,http://www.wikidata.org/wiki/Q219113,ML
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathMarket,TheMathMarket,P366,use,http://www.wikidata.org/wiki/Q218846,enterprise
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Srivatsathemathcompany.com,Srivatsathemathcompany.com,P277,programming language,http://www.wikidata.org/wiki/Q747452,Python
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Shridharthemathcompany.com,Shridharthemathcompany.com,P277,programming language,http://www.wikidata.org/wiki/Q747452,Python
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_on_Cloud,SQL on Cloud,pcode,based on,http://www.wikidata.org/wiki/Q47607,SQL
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_on_Cloud,SQL on Cloud,P366,use,http://www.wikidata.org/wiki/Q1988917,data analysis
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_Queries,SQL Queries,P1535,used by,http://www.wikidata.org/wiki/Q2374463,Data scientist
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Start_a_SQL_server,Start a SQL server,P1269,facet of,http://www.wikidata.org/wiki/Q47607,SQL
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_client,SQL client,P361,part of,http://www.wikidata.org/wiki/Q400708,SQL server
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_client,SQL client,P366,use,http://www.wikidata.org/wiki/Q7385,Querying
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Virtual_Machine_VM,Virtual Machine VM,P279,subclass of,http://www.wikidata.org/wiki/Q235150,VM
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Maintaining_the_VM,Maintaining the VM,P2283,uses,http://www.wikidata.org/wiki/Q235150,VM
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Maintaining_the_VM,Maintaining the VM,P1269,facet of,http://www.wikidata.org/wiki/Q235150,VM
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/docs.aws,docs.aws,P361,part of,http://www.wikidata.org/wiki/Q245906,S3
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Select_all_the_values_as_indicated_in_the_image,Select all the values as indicated in the image,P279,subclass of,http://www.wikidata.org/wiki/Q478798,image
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Create_a_new_database,Create a new database,P31,instance of,http://www.wikidata.org/wiki/Q110484567,dropdown
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Database_Name,Database Name,P361,part of,http://www.wikidata.org/wiki/Q8513,Database
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Table_Name,Table Name,P361,part of,http://www.wikidata.org/wiki/Q14749,Table
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/location_directory,location directory,P361,part of,http://www.wikidata.org/wiki/Q245906,S3
