asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name,source_weight,target_weight
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/quick_wins,Quick wins,P279,subclass of,http://www.themathcompany.com/cognition/Show_action,Show action,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/The_perception_battle_is_not_easy,The perception battle is not easy,P527,has part,http://www.themathcompany.com/cognition/The_perception_battle_is_where_a_lot_of_organizations_falter,The perception battle is where a lot of organizations falter,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/The_perception_battle_is_where_a_lot_of_organizations_falter,The perception battle is where a lot of organizations falter,P361,part of,http://www.themathcompany.com/cognition/The_perception_battle_is_not_easy,The perception battle is not easy,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_product_development,Agile product development,P279,subclass of,http://www.themathcompany.com/cognition/iteratively_improving,Iteratively improving,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_product_development,Agile product development,P279,subclass of,http://www.themathcompany.com/cognition/Agile_Data_Science,Agile data science,1,3
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_frameworks,Agile frameworks,P366,use,http://www.themathcompany.com/cognition/agile_workflow,Agile workflow,4,1
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/end_-_to_-_end_solution,End - to - end solution,P279,subclass of,http://www.themathcompany.com/cognition/Data_product,Data product,2,17
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/end_-_to_-_end_solution,End - to - end solution,P1056,product or material produced,http://www.themathcompany.com/cognition/Data_product,Data product,2,17
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/Look_Forward,Look forward,P461,opposite of,http://www.themathcompany.com/cognition/Look_Backward,Look backward,1,1
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/Look_Backward,Look backward,P461,opposite of,http://www.themathcompany.com/cognition/Look_Forward,Look forward,1,1
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/changing_processes,Changing processes,P1542,has effect,http://www.themathcompany.com/cognition/changing_mindsets,Changing mindsets,1,1
